2026-03-22 16:48:03.726 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.755 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.786 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.815 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.839 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.870 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.895 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.920 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.945 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.969 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.995 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.018 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.040 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.063 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.086 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.115 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.135 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.163 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.186 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.214 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.237 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.260 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.287 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.309 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.338 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.368 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.393 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.415 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.439 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.464 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.486 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.514 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.543 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.562 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.589 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.611 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.633 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.654 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.674 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.696 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.719 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.741 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.760 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.781 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.799 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.818 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.842 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.865 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.886 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.915 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.938 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.961 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:04.983 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
